title,author,rating,voters,price,currency,description,publisher,page_count,language,published_date,genre,ISBN_13
A Place Of Execution,Val Mcdermid,4.0,20.0,,,"In The Peak District Village Of Scarsdale, Thirteen-Year-Old Girls Didn'T Just Run Away. So When Alison Carter Vanished In The Winter Of '63, Everyone Knew It Was A Murder. Catherine Heathcote Remembers The Case Well - A Child Herself When Alison Vanished. Now A Journalist, She Persuades Di George Bennett To Speak Of The Hunt For Alison. But When A Fresh Lead Emerges, Bennett Tries To Stop The Story - Plunging Catherine Into A World Of Buried Secrets And Revelations.",Clipper Audio,,English,2016,Thriller,9781510006980
The Suspect,Michael Robotham,4.0,34.0,,,"Joseph O'Loughlin Appears To Have The Perfect Life - A Beautiful Wife, A Loving Daughter And A Successful Career As A Clinical Psychologist. But Nothing Can Be Taken For Granted. Even The Most Flawless Existence Is Only A Loose Thread Away From Unravelling. All It Takes Is A Murdered Girl, A Troubled Young Patient And The Biggest Lie Of His Life. Caught In A Complex Web Of Deceit And Haunted By Images Of The Slain Girl, He Embarks Upon A Search That Will Take Him From London To Liverpool And Into The Darkest Recesses Of The Human Mind. Ultimately, He Will Risk Everything To Unmask The Killer And Save His Family.",Sphere,0.0,English,2010-01-21,Thriller,9780751544176
The Quality Of Silence,Rosamund Lupton,3.5,80.0,,,"On 24Th November Yasmin And Her Deaf Daughter Ruby Arrive In Alaska. Within Hours They Are Driving Alone Across A Frozen Wilderness, Where Nothing Grows, No One Lives, Where Tears Freeze And Where Night Will Last For Another Fifty-Four Days. They Are Looking For Ruby'S Father, Travelling Deeper Into A Silent Land. They Still Cannot Find Him. And Someone Is Watching Them In The Dark.",Clipper Audio,,English,2015-01-12,Thriller,9781510015128
The Harbinger,Jonathan Cahn,4.5,961.0,,,"""The Harbinger Opens With The Appearance Of A Man Burdened With A Message He Has Received From A Mysterious Figure Called The Prophet. The Prophet Has Given Him Nine Seals, Each Containing A Message About America'S Future ... As The Story Unfolds, Each Revelation Becomes A Piece In A Greater Puzzle -- The Ramifications Of Which Will Even Alter The Course Of World History.""--Publisher'S Website.",Charisma Media,274.0,English,2011,Thriller,9781616386108
The Near Future In Twenty-First-Century Fiction,David Sergeant,,,,,"A Growing Awareness Of Climate Change And Looming Planetary Crisis Has Put Unprecedented Pressure On The Near Future, Leading To An Increasing Amount Of Fiction Being Set There. But What Do These Disparate Works Have In Common, Other Than Their Temporal Setting? And What Can The Imagination Of The Near Future Tell Us About Where We Live Now? The Near Future In 21St Century Fiction Ranges Across Novels And Films To Reveal How Our Contemporary Near Future Splits Between Two Divergent Paths. One Seeks To Retreat From Climate Change And The Disruption It Threatens To Affluent Lifestyles; The Other Tries To Imagine New Forms Of Community, And Radical Change, But Struggles To Locate A Genre Adequate To The Task. It In This Struggle, However, That We Begin To Glimpse The Outlines Of An Emergent Near Future Form: A Revolution Fit For The Anthropocene.",Cambridge University Press,239.0,English,2022-12-22,Science Fiction,9781009279918
The Invisible Man,H. G. Wells,3.5,101.0,,,"The Invisible Man Is A Classic Science Fiction Novel, And Has Inspired Many Movies And Television Shows.Griffin Is A Scientist Who Develops A Procedure To Change His Body'S Refractive Index To That Of Air So It Absorbs And Reflects No Light, Making Him Invisible. Unfortunately, He Can'T Reverse The Process, And After A Betrayal, He Decides To Go On A Reign Of Terror.",,176.0,English,2013-07-04,Science Fiction,9780615845197
"Wizards, Aliens, And Starships",Charles L. Adler,5.0,1.0,,,Resource Added For The ​Laboratory Science Technician Program 105065.,Princeton University Press,392.0,English,2019-11-19,Science Fiction,9780691196374
Comeuppance,William Flesch,,,,,"With Comeuppance, William Flesch Delivers The Freshest, Most Generous Thinking About The Novel Since Walter Benjamin Wrote On The Storyteller And Wayne C. Booth On The Rhetoric Of Fiction. In Clear And Engaging Prose, Flesch Integrates Evolutionary Psychology Into Literary Studies, Creating A New Theory Of Fiction In Which Form And Content Flawlessly Intermesh. Fiction, Flesch Contends, Gives Us Our Most Powerful Way Of Making Sense Of The Social World. Comeuppance Begins With An Exploration Of The Appeal Of Gossip And Ends With An Account Of How We Can Think About Characters And Care About Them As Much As About Persons We Know To Be Real. We Praise A Storyteller Who Contrives A Happy Or At Least An Appropriate Ending, And Fault The Writer Who Refuses Us One. Flesch Uses Darwinian Theory To Show How Fiction Satisfies Our Desire To See The Good Vindicated And The Wicked Get Their Comeuppance. He Conveys The Danger And Excitement Of Reading Fiction With Nimble Intelligence And Provides Wide Reference To Stories Both Familiar And Little Known. Flesch Has Given Us A Book That Is Sure To Claim A Central Place In The Discussion Of Literature And The Humanities.",Harvard University Press,272.0,English,2007,Science Fiction,9780674026315
On The Origin Of Stories,Brian Boyd,4.0,1.0,,,"A Century And A Half After The Publication Of Origin Of Species, Evolutionary Thinking Has Expanded Beyond The Field Of Biology To Include Virtually All Human-Related Subjects—Anthropology, Archeology, Psychology, Economics, Religion, Morality, Politics, Culture, And Art. Now A Distinguished Scholar Offers The First Comprehensive Account Of The Evolutionary Origins Of Art And Storytelling. Brian Boyd Explains Why We Tell Stories, How Our Minds Are Shaped To Understand Them, And What Difference An Evolutionary Understanding Of Human Nature Makes To Stories We Love. Art Is A Specifically Human Adaptation, Boyd Argues. It Offers Tangible Advantages For Human Survival, And It Derives From Play, Itself An Adaptation Widespread Among More Intelligent Animals. More Particularly, Our Fondness For Storytelling Has Sharpened Social Cognition, Encouraged Cooperation, And Fostered Creativity. After Considering Art As Adaptation, Boyd Examines Homer’S Odyssey And Dr. Seuss’S Horton Hears A Who! Demonstrating How An Evolutionary Lens Can Offer New Understanding And Appreciation Of Specific Works. What Triggers Our Emotional Engagement With These Works? What Patterns Facilitate Our Responses? The Need To Hold An Audience’S Attention, Boyd Underscores, Is The Fundamental Problem Facing All Storytellers. Enduring Artists Arrive At Solutions That Appeal To Cognitive Universals: An Insight Out Of Step With Contemporary Criticism, Which Obscures Both The Individual And Universal. Published For The Bicentenary Of Darwin’S Birth And The 150Th Anniversary Of The Publication Of Origin Of Species, Boyd’S Study Embraces A Darwinian View Of Human Nature And Art, And Offers A Credo For A New Humanism.",Harvard University Press,555.0,English,2010-11-15,Science Fiction,9780674057111
Consciousness And Science Fiction,Damien Broderick,,,,,"Science Fiction Explores The Wonderful, Baffling And Wildly Entertaining Aspects Of A Universe Unimaginably Old And Vast, And With A Future Even More Immense. It Reaches Into That Endless Cosmos With The Tools Of Rational Investigation And Storytelling. At The Core Of Both Science And Science Fiction Is The Engaged Human Mind--A Consciousness That Sees And Feels And Thinks And Loves. But What Is This Mind, This Aware And Self-Aware Consciousness That Seems Unlike Anything Else We Experience? What Makes Consciousness The Hard Problem Of Philosophy, Still Unsolved After Millennia Of Probing? This Book Looks Into The Heart Of This Mystery - At The Science And Philosophy Of Consciousness And At Many Inspiring Fictional Examples - And Finds Strange, Challenging Answers. The Book'S Content And Entertaining Style Will Appeal Equally To Science Fiction Enthusiasts And Scholars, Including Cognitive And Neuroscientists, As Well As Philosophers Of Mind. It Is A Refreshing Romp Through The Science And Science Fiction Of Consciousness.",Springer,196.0,English,2018-11-30,Science Fiction,9783030005993
The Science Of Science Fiction,Matthew Brenden Wood,,,,,"Uncovers The Real Science Behind Classic And Modern Science Fiction Stories, Exploring Such Topics As Time Travel, Cloning, Artificial Intelligence, And Life On Other Planets.",Inquire And Investigate,0.0,English,2017,Science Fiction,9781619304703
